bloque,inicio_bloque,rmse,mae,r2
158,44016,0.00901712467954418,0.0077934800116221115,-1.7219948472997624
159,44064,0.009765543770634806,0.008143077046076455,-0.9124304295943992
160,44112,0.008092092389240543,0.006698695195515951,-0.8848900387993994
161,44160,0.009181783444481005,0.007931302787462869,-0.8414928856987915
162,44208,0.008442426110180638,0.007837964620590209,-0.9157515711794482
163,44256,0.008775291184713123,0.007631753706932069,-0.052033268056711934
164,44304,0.016484457549265134,0.01446398371855418,-3.3200736305764584
165,44352,0.010034717463990789,0.00834212241967519,-1.5357412505823027
166,44400,0.016064780611450693,0.013322317051887514,-2.1507776356523767
167,44448,0.010705057043744491,0.009081490569114685,-2.117512506465219
168,44496,0.009658959413904307,0.008576483718554179,-3.7063230192912053
169,44544,0.006898861389560534,0.005758440925280253,-0.004156907077751404
170,44592,0.006403865150080782,0.005523170936902365,-1.3302436182521133
171,44640,0.009096304805476737,0.007826584459940595,-2.850768564894743
172,44688,0.011923974166636223,0.010089823902448019,-2.137820693488977
173,44736,0.014681540734380653,0.013597632977167767,-5.622996829604993
174,44784,0.02909565246492569,0.028119709459940592,-14.160694488137478
175,44832,0.02517179147160555,0.02162700112660726,-2.819469514329414
176,44880,0.016200287877819276,0.014328049643834431,-3.1740005468154235
177,44928,0.039049886621882954,0.03720054279327393,-9.813831505178271
178,44976,0.05779292192949892,0.05777387612660726,-1516.4589049657104
179,45024,0.03718106160842427,0.034670959459940594,-6.665018149389056
180,45072,0.03618068001234587,0.03450450112660726,-10.04853534324309
181,45120,0.02383485766814298,0.02283075112660726,-11.124068831516077
182,45168,0.02122660585690503,0.01970158445994059,-6.218760483507096
183,45216,0.017013203228750794,0.016303251126607257,-11.237264695396608
